time,seconds_elapsed,z,y,x
1773343128934315500,0.1873154296875,0.3160000145435333,0.06700000166893005,0
1773343128944067000,0.197067138671875,0.1340000033378601,0.02800000086426735,0
1773343128953819000,0.20681884765625,0.15199999511241913,0.03200000151991844,0
1773343128963569400,0.2165693359375,0.20000000298023224,0.04100000113248825,0
1773343128973319400,0.2263193359375,0.09600000083446503,0.019999999552965164,0
1773343128983069700,0.236069580078125,0.09799999743700027,0.01899999938905239,-0.0010000000474974513
1773343128992821500,0.245821533203125,0.09200000017881393,0.01899999938905239,-0.0010000000474974513
1773343129002573300,0.2555732421875,0.16500000655651093,0.03400000184774399,0
1773343129012323800,0.26532373046875,0.06199999898672104,0.013000000268220901,0
1773343129022075000,0.275074951171875,0.11299999803304672,0.02500000037252903,0
1773343129031824000,0.284823974609375,-0.004000000189989805,0,0
1773343129041573400,0.294573486328125,0.10599999874830246,0.023000000044703484,-0.0010000000474974513
1773343129051323000,0.304322998046875,0.164000004529953,0.035999998450279236,-0.0020000000949949026
1773343129061072000,0.31407177734375,0.0560000017285347,0.012000000104308128,0
1773343129070822100,0.323822265625,0.16899999976158142,0.03500000014901161,-0.0020000000949949026
1773343129080573000,0.333572998046875,0.07599999755620956,0.01600000075995922,0
1773343129090309600,0.3433095703125,1.1890000104904175,-2.9600000381469727,-0.7649999856948853
1773343129100072400,0.353072509765625,1.0420000553131104,-2.9719998836517334,-0.8899999856948853
1773343129109823700,0.36282373046875,1.184000015258789,-2.884999990463257,-0.8330000042915344
1773343129119574000,0.372573974609375,1.2699999809265137,-2.8410000801086426,-0.8600000143051147
1773343129129324500,0.382324462890625,1.3760000467300415,-2.7829999923706055,-0.7319999933242798
1773343129139076000,0.392076171875,1.5859999656677246,-2.947999954223633,-0.6759999990463257
1773343129148828200,0.401828125,1.3890000581741333,-2.8340001106262207,-0.640999972820282
1773343129158580000,0.411580078125,1.3450000286102295,-2.8510000705718994,-0.7839999794960022
1773343129168332500,0.42133251953125,1.305999994277954,-2.921999931335449,-0.859000027179718
1773343129178083800,0.431083740234375,1.215000033378601,-2.875999927520752,-0.7889999747276306
1773343129187836400,0.44083642578125,1.2369999885559082,-2.740999937057495,-0.7129999995231628
1773343129197589500,0.450589599609375,1.2380000352859497,-2.8420000076293945,-0.5149999856948853
1773343129207343600,0.460343505859375,1.2410000562667847,-2.828000068664551,-0.6140000224113464
1773343129216983800,0.46998388671875,1.2480000257492065,-2.8299999237060547,-0.625
1773343129236113700,0.48911376953125,1.190999984741211,-2.6640000343322754,-0.7300000190734863
1773343129245866800,0.49886669921875,1.097000002861023,-2.5409998893737793,-0.6669999957084656
1773343129255620600,0.50862060546875,1.1399999856948853,-2.4509999752044678,-0.6539999842643738
1773343129265374500,0.51837451171875,0.9959999918937683,-2.319999933242798,-0.578000009059906
1773343129275126500,0.52812646484375,0.9660000205039978,-2.259000062942505,-0.5910000205039978
1773343129284878000,0.537878173828125,0.7910000085830688,-2.1559998989105225,-0.527999997138977
1773343129294629600,0.547629638671875,0.7950000166893005,-2.061000108718872,-0.5600000023841858
1773343129304381700,0.557381591796875,0.8309999704360962,-1.9359999895095825,-0.4650000035762787
1773343129314133000,0.567133056640625,0.734000027179718,-1.9149999618530273,-0.37299999594688416
1773343129323884800,0.576884765625,0.6050000190734863,-1.781000018119812,-0.39500001072883606
1773343129333637000,0.58663720703125,0.6420000195503235,-1.7200000286102295,-0.3580000102519989
1773343129343388400,0.596388427734375,0.6320000290870667,-1.5729999542236328,-0.25
1773343129362408000,0.615407958984375,0.5450000166893005,-1.4010000228881836,-0.2280000001192093
1773343129372161800,0.625161865234375,0.4699999988079071,-1.3389999866485596,-0.2849999964237213
1773343129381915400,0.634915283203125,0.41499999165534973,-1.2669999599456787,-0.21199999749660492
1773343129391670300,0.644670166015625,0.4480000138282776,-1.0829999446868896,-0.24400000274181366
1773343129401411300,0.654411376953125,0.4950000047683716,-0.9399999976158142,-0.2199999988079071
1773343129411177200,0.66417724609375,0.44600000977516174,-0.8840000033378601,-0.17599999904632568
1773343129420905500,0.673905517578125,0.4390000104904175,-0.8059999942779541,-0.11299999803304672
1773343129430671400,0.68367138671875,0.492000013589859,-0.671999990940094,-0.22699999809265137
1773343129440437500,0.6934375,0.41999998688697815,-0.6169999837875366,-0.14399999380111694
1773343129450190300,0.7031904296875,0.44999998807907104,-0.4480000138282776,-0.10000000149011612
1773343129459942700,0.712942626953125,0.17800000309944153,-0.3709999918937683,-0.04800000041723251
1773343129469696300,0.7226962890625,0.10700000077486038,-0.296999990940094,-0.006000000052154064
1773343129479449600,0.73244970703125,0.04100000113248825,-0.1770000010728836,-0.0560000017285347
1773343129489203000,0.742202880859375,0.10999999940395355,-0.07800000160932541,-0.04600000008940697
1773343129498957600,0.75195751953125,0.13099999725818634,-0.01600000075995922,0.017999999225139618
1773343129508711200,0.761711181640625,0.18199999630451202,0.06300000101327896,-0.08100000023841858
1773343129518464500,0.771464599609375,0.1509999930858612,0.04899999871850014,0.12800000607967377
1773343129528218400,0.78121826171875,0.1459999978542328,0.08399999886751175,0.02500000037252903
1773343129537973800,0.790973876953125,0.15199999511241913,0.041999999433755875,0.07699999958276749
1773343129547728400,0.800728271484375,0.029999999329447746,0.08399999886751175,-0.00800000037997961
1773343129557481000,0.81048095703125,-0.03999999910593033,0.041999999433755875,-0.07699999958276749
1773343129567234300,0.820234375,0.1720000058412552,0.020999999716877937,-0.03799999877810478
1773343129576987100,0.829987060546875,0.2630000114440918,-0.03400000184774399,0.0010000000474974513
1773343129586740200,0.839740234375,0.38499999046325684,0.10300000011920929,-0.05700000002980232
1773343129596495000,0.8494951171875,0.36500000953674316,0.054999999701976776,0.12099999934434891
1773343129606248400,0.85924853515625,0.2460000067949295,0.07199999690055847,0.035999998450279236
1773343129616002800,0.8690029296875,0.07100000232458115,0.18700000643730164,0.04100000113248825
1773343129625756700,0.878756591796875,-0.0689999982714653,0.11599999666213989,0.01899999938905239
1773343129635510300,0.88851025390625,-0.06499999761581421,0.0860000029206276,0.05700000002980232
1773343129645264000,0.898263916015625,-0.09300000220537186,0.10100000351667404,-0.052000001072883606
1773343129655017000,0.908016845703125,-0.03099999949336052,0.050999999046325684,0.07400000095367432
1773343129664770600,0.9177705078125,-0.023000000044703484,0.12099999934434891,0.02800000086426735
1773343129674523600,0.927523681640625,0.18199999630451202,0.08799999952316284,0.020999999716877937
1773343129693542100,0.946542236328125,0.13500000536441803,0.05900000035762787,0.1889999955892563
1773343129703295700,0.956295654296875,0.11100000143051147,0.11500000208616257,0.11800000071525574
1773343129713048300,0.96604833984375,-0.003000000026077032,0.10899999737739563,0.09200000017881393
1773343129722804500,0.975804443359375,0.19200000166893005,0.12700000405311584,0.14100000262260437
1773343129732555000,0.985554931640625,0.23899999260902405,0.02500000037252903,0.16699999570846558
1773343129742307000,0.99530712890625,0.3230000138282776,0.125,0.12800000607967377
1773343129752060200,1.00506005859375,0.3400000035762787,0.03200000151991844,0.06800000369548798
1773343129761812200,1.014812255859375,0.24300000071525574,0.06199999898672104,0.07800000160932541
1773343129771565300,1.0245654296875,0.050999999046325684,0.0820000022649765,0.10300000011920929
1773343129781319400,1.0343193359375,-0.19900000095367432,0.09300000220537186,0.06499999761581421
1773343129791071000,1.044071044921875,-0.27300000190734863,0.21199999749660492,-0.008999999612569809
1773343129800823600,1.053823486328125,-0.3490000069141388,0.12800000607967377,0.07999999821186066
1773343129810550300,1.06355029296875,-0.2939999997615814,0.33000001311302185,0.2029999941587448
1773343129820315400,1.0733154296875,-0.08900000154972076,0.35100001096725464,0.3190000057220459
1773343129830079700,1.083079833984375,0.07999999821186066,0.17800000309944153,0.33899998664855957
1773343129839832000,1.09283203125,0.10700000077486038,0.1120000034570694,0.1899999976158142
1773343129849587000,1.1025869140625,0.14900000393390656,0.06599999964237213,0.14300000667572021
1773343129859340000,1.112340087890625,0.06300000101327896,-0.004000000189989805,0.04899999871850014
1773343129869094000,1.122093994140625,0.1979999989271164,0.050999999046325684,0.10100000351667404
1773343129878848000,1.131847900390625,0.1889999955892563,0.11299999803304672,0.15600000321865082
1773343129888601300,1.141601318359375,0.11599999666213989,0.10100000351667404,0.07800000160932541
1773343129898355700,1.151355712890625,0.14100000262260437,0.10400000214576721,0.1599999964237213
1773343129908109000,1.161109130859375,0.17800000309944153,0.04100000113248825,0.1720000058412552
1773343129917862100,1.170862060546875,0.21699999272823334,0,0.19099999964237213
1773343129927615200,1.180615234375,0.22100000083446503,0.012000000104308128,0.03500000014901161
1773343129937371400,1.190371337890625,0.1770000010728836,0.05700000002980232,0.03400000184774399
1773343129947127300,1.200127197265625,0.23899999260902405,0.00800000037997961,-0.0010000000474974513
1773343129956882200,1.209882080078125,0.1860000044107437,0.013000000268220901,0.07100000232458115
1773343129966637300,1.21963720703125,0.32199999690055847,0.054999999701976776,0.09099999815225601
1773343129976392200,1.22939208984375,0.43299999833106995,0.05999999865889549,0.22200000286102295
1773343129986148000,1.239148193359375,0.38199999928474426,0.07500000298023224,0.1599999964237213
1773343129995902700,1.24890283203125,0.3310000002384186,0.12399999797344208,0.13699999451637268
1773343130005658000,1.258658203125,0.11699999868869781,0.11299999803304672,0.06599999964237213
1773343130015412500,1.26841259765625,0.04100000113248825,0.13500000536441803,-0.04100000113248825
1773343130025166800,1.278166748046875,0.10400000214576721,0.0729999989271164,-0.08900000154972076
1773343130034921500,1.28792138671875,0.23000000417232513,-0.032999999821186066,0.057999998331069946
1773343130044671200,1.297671142578125,0.2840000092983246,0.03700000047683716,-0.07000000029802322
1773343130054422300,1.30742236328125,0.5009999871253967,-0.03200000151991844,-0.16599999368190765
1773343130064175000,1.317175048828125,0.26100000739097595,-0.12800000607967377,-0.08100000023841858
1773343130073928400,1.326928466796875,0.20399999618530273,-0.05299999937415123,-0.004999999888241291
1773343130083681300,1.336681396484375,0.1679999977350235,0.08699999749660492,0.0010000000474974513
1773343130093433300,1.346433349609375,0.15600000321865082,0.16500000655651093,0.09099999815225601
1773343130103187700,1.356187744140625,0.21899999678134918,0.19699999690055847,0.2590000033378601
1773343130112941000,1.365941162109375,0.31200000643730164,0.24400000274181366,0.10899999737739563
1773343130122694400,1.3756943359375,0.3160000145435333,0.25600001215934753,0.22200000286102295
1773343130132447000,1.385447021484375,0.47699999809265137,0.20600000023841858,0.14100000262260437
1773343130142199800,1.39519970703125,0.6359999775886536,0.2160000056028366,0.08900000154972076
1773343130161705500,1.41470556640625,0.8090000152587891,-0.03700000047683716,-0.3100000023841858
1773343130171459300,1.424459228515625,0.7429999709129333,0,-0.45500001311302185
1773343130181213400,1.43421337890625,0.546999990940094,0.09300000220537186,-0.5820000171661377
1773343130190966000,1.443966064453125,0.39800000190734863,0.1720000058412552,-0.3889999985694885
1773343130200720000,1.453719970703125,0.003000000026077032,0.25099998712539673,-0.13699999451637268
1773343130210473200,1.46347314453125,-0.11699999868869781,0.4449999928474426,0.1379999965429306
1773343130220442400,1.4734423828125,-0.03799999877810478,0.6639999747276306,0.515999972820282
1773343130229980200,1.482980224609375,0.06800000369548798,0.7749999761581421,0.7039999961853027
1773343130239733200,1.492733154296875,0.07500000298023224,0.7099999785423279,0.5199999809265137
1773343130249485600,1.502485595703125,0.03400000184774399,-1.3350000381469727,-1.1139999628067017
1773343130259236000,1.512236083984375,-0.9589999914169312,-2.059999942779541,-1.9989999532699585
1773343130268989200,1.5219892578125,-0.04399999976158142,-0.3199999928474426,-2.0810000896453857
1773343130278604800,1.531604736328125,0.3799999952316284,0.5879999995231628,-3.0230000019073486
1773343130297759700,1.550759765625,1.2289999723434448,0.26600000262260437,-0.7350000143051147
1773343130307512600,1.5605126953125,1.0759999752044678,-0.3880000114440918,0.1940000057220459
1773343130317265000,1.570264892578125,0.6589999794960022,-0.5249999761581421,0.824999988079071
1773343130327017500,1.580017578125,0.08699999749660492,-0.2930000126361847,0.8090000152587891
1773343130336770300,1.589770263671875,-0.2680000066757202,0.20499999821186066,0.32899999618530273
1773343130346522400,1.5995224609375,-0.5720000267028809,0.3919999897480011,-0.19099999964237213
1773343130356274700,1.609274658203125,-0.9559999704360962,0.5109999775886536,-0.46399998664855957
1773343130366027000,1.619027099609375,-1.0829999446868896,0.6380000114440918,-0.6869999766349792
1773343130375779800,1.62877978515625,-1.1069999933242798,0.49300000071525574,-0.7269999980926514
